YEAR,Total

2000,1,154,161
2001,1,260,063
2002,1,345,540
2003,1,547,071
2004,1,722,995
2005,1,925,405
2006 2,187,508
2007,2,320,638
2008,2,204,489
2009,1,762,251
2010,1,668,574
2011,1,685,548
2012,1,575,543
2013,1,583,983
2014,1,655,128
2015,1,862,949
