"Institution","Year","Statistic Label","UNIT","VALUE"
"Higher Education Authority","2009","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2009","Entrants to Third Level Courses","Number",""
"Higher Education Authority","2010","Full-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2010","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2010","Entrants to Third Level Courses","Number",""
"Higher Education Authority","2011","Full-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2011","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2011","Entrants to Third Level Courses","Number",""
"Higher Education Authority","2012","Full-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2012","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2012","Entrants to Third Level Courses","Number",""
"Higher Education Authority","2013","Full-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2013","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2013","Entrants to Third Level Courses","Number",""
"Higher Education Authority","2014","Full-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2014","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2014","Entrants to Third Level Courses","Number",""
"Higher Education Authority","2015","Full-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2015","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2015","Entrants to Third Level Courses","Number",""
"Higher Education Authority","2016","Full-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2016","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2016","Entrants to Third Level Courses","Number",""
"Higher Education Authority","2017","Full-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2017","Part-time Enrolments to Third Level Courses","Number",""
"Higher Education Authority","2017","Entrants to Third Level Courses","Number",""
"National University of Ireland, Cork","2000","Full-time Enrolments to Third Level Courses","Number","11122"
"National University of Ireland, Cork","2000","Part-time Enrolments to Third Level Courses","Number","772"
"National University of Ireland, Cork","2000","Entrants to Third Level Courses","Number","2695"
"National University of Ireland, Cork","2001","Full-time Enrolments to Third Level Courses","Number","11694"
"National University of Ireland, Cork","2001","Part-time Enrolments to Third Level Courses","Number","1200"
"National University of Ireland, Cork","2001","Entrants to Third Level Courses","Number","2681"
"National University of Ireland, Cork","2002","Full-time Enrolments to Third Level Courses","Number","12001"
"National University of Ireland, Cork","2002","Part-time Enrolments to Third Level Courses","Number","1226"
"National University of Ireland, Cork","2002","Entrants to Third Level Courses","Number","2733"
"National University of Ireland, Cork","2003","Full-time Enrolments to Third Level Courses","Number","12492"
"National University of Ireland, Cork","2003","Part-time Enrolments to Third Level Courses","Number","1273"
"National University of Ireland, Cork","2003","Entrants to Third Level Courses","Number","2695"
"National University of Ireland, Cork","2004","Full-time Enrolments to Third Level Courses","Number","12993"
"National University of Ireland, Cork","2004","Part-time Enrolments to Third Level Courses","Number","1314"
"National University of Ireland, Cork","2004","Entrants to Third Level Courses","Number","2907"
"National University of Ireland, Cork","2005","Full-time Enrolments to Third Level Courses","Number","13611"
"National University of Ireland, Cork","2005","Part-time Enrolments to Third Level Courses","Number","1603"
"National University of Ireland, Cork","2005","Entrants to Third Level Courses","Number","3108"
"National University of Ireland, Cork","2006","Full-time Enrolments to Third Level Courses","Number","13766"
"National University of Ireland, Cork","2006","Part-time Enrolments to Third Level Courses","Number","1393"
"National University of Ireland, Cork","2006","Entrants to Third Level Courses","Number","3053"
"National University of Ireland, Cork","2007","Full-time Enrolments to Third Level Courses","Number","14165"
"National University of Ireland, Cork","2007","Part-time Enrolments to Third Level Courses","Number","1379"
"National University of Ireland, Cork","2007","Entrants to Third Level Courses","Number","3407"
"National University of Ireland, Cork","2008","Full-time Enrolments to Third Level Courses","Number","14559"
"National University of Ireland, Cork","2008","Part-time Enrolments to Third Level Courses","Number","1319"
"National University of Ireland, Cork","2008","Entrants to Third Level Courses","Number","3888"
"National University of Ireland, Cork","2009","Full-time Enrolments to Third Level Courses","Number","15076"
"National University of Ireland, Cork","2009","Part-time Enrolments to Third Level Courses","Number","1326"
"National University of Ireland, Cork","2009","Entrants to Third Level Courses","Number","3860"
"National University of Ireland, Cork","2010","Full-time Enrolments to Third Level Courses","Number","15780"
"National University of Ireland, Cork","2010","Part-time Enrolments to Third Level Courses","Number","1226"
"National University of Ireland, Cork","2010","Entrants to Third Level Courses","Number","3334"
"National University of Ireland, Cork","2011","Full-time Enrolments to Third Level Courses","Number","15979"
"National University of Ireland, Cork","2011","Part-time Enrolments to Third Level Courses","Number","1238"
"National University of Ireland, Cork","2011","Entrants to Third Level Courses","Number","3951"
"National University of Ireland, Cork","2012","Full-time Enrolments to Third Level Courses","Number","16006"
"National University of Ireland, Cork","2012","Part-time Enrolments to Third Level Courses","Number","2082"
"National University of Ireland, Cork","2012","Entrants to Third Level Courses","Number","3846"
"National University of Ireland, Cork","2013","Full-time Enrolments to Third Level Courses","Number","15906"
"National University of Ireland, Cork","2013","Part-time Enrolments to Third Level Courses","Number","2614"
"National University of Ireland, Cork","2013","Entrants to Third Level Courses","Number","3804"
"National University of Ireland, Cork","2014","Full-time Enrolments to Third Level Courses","Number","15816"
"National University of Ireland, Cork","2014","Part-time Enrolments to Third Level Courses","Number","3113"
"National University of Ireland, Cork","2014","Entrants to Third Level Courses","Number","3855"
"National University of Ireland, Cork","2015","Full-time Enrolments to Third Level Courses","Number","16102"
"National University of Ireland, Cork","2015","Part-time Enrolments to Third Level Courses","Number","2946"
"National University of Ireland, Cork","2015","Entrants to Third Level Courses","Number","3512"
"National University of Ireland, Cork","2016","Full-time Enrolments to Third Level Courses","Number","16741"
"National University of Ireland, Cork","2016","Part-time Enrolments to Third Level Courses","Number","2780"
"National University of Ireland, Cork","2016","Entrants to Third Level Courses","Number","3568"
"National University of Ireland, Cork","2017","Full-time Enrolments to Third Level Courses","Number","16976"
"National University of Ireland, Cork","2017","Part-time Enrolments to Third Level Courses","Number","2824"
"National University of Ireland, Cork","2017","Entrants to Third Level Courses","Number","3554"
"National University of Ireland, Dublin","2000","Full-time Enrolments to Third Level Courses","Number","15088"
"National University of Ireland, Dublin","2000","Part-time Enrolments to Third Level Courses","Number","3269"
"National University of Ireland, Dublin","2000","Entrants to Third Level Courses","Number","3414"
"National University of Ireland, Dublin","2001","Full-time Enrolments to Third Level Courses","Number","14974"
"National University of Ireland, Dublin","2001","Part-time Enrolments to Third Level Courses","Number","2936"
"National University of Ireland, Dublin","2001","Entrants to Third Level Courses","Number","3529"
"National University of Ireland, Dublin","2002","Full-time Enrolments to Third Level Courses","Number","15316"
"National University of Ireland, Dublin","2002","Part-time Enrolments to Third Level Courses","Number","4291"
"National University of Ireland, Dublin","2002","Entrants to Third Level Courses","Number","3493"
"National University of Ireland, Dublin","2003","Full-time Enrolments to Third Level Courses","Number","15888"
"National University of Ireland, Dublin","2003","Part-time Enrolments to Third Level Courses","Number","4271"
"National University of Ireland, Dublin","2003","Entrants to Third Level Courses","Number","3603"
"National University of Ireland, Dublin","2004","Full-time Enrolments to Third Level Courses","Number","16313"
"National University of Ireland, Dublin","2004","Part-time Enrolments to Third Level Courses","Number","4295"
"National University of Ireland, Dublin","2004","Entrants to Third Level Courses","Number","3558"
"National University of Ireland, Dublin","2005","Full-time Enrolments to Third Level Courses","Number","16314"
"National University of Ireland, Dublin","2005","Part-time Enrolments to Third Level Courses","Number","6145"
"National University of Ireland, Dublin","2005","Entrants to Third Level Courses","Number","3578"
"National University of Ireland, Dublin","2006","Full-time Enrolments to Third Level Courses","Number","16422"
"National University of Ireland, Dublin","2006","Part-time Enrolments to Third Level Courses","Number","6005"
"National University of Ireland, Dublin","2006","Entrants to Third Level Courses","Number","3559"
"National University of Ireland, Dublin","2007","Full-time Enrolments to Third Level Courses","Number","16875"
"National University of Ireland, Dublin","2007","Part-time Enrolments to Third Level Courses","Number","5317"
"National University of Ireland, Dublin","2007","Entrants to Third Level Courses","Number","3875"
"National University of Ireland, Dublin","2008","Full-time Enrolments to Third Level Courses","Number","17443"
"National University of Ireland, Dublin","2008","Part-time Enrolments to Third Level Courses","Number","4303"
"National University of Ireland, Dublin","2008","Entrants to Third Level Courses","Number","4086"
"National University of Ireland, Dublin","2009","Full-time Enrolments to Third Level Courses","Number","18104"
"National University of Ireland, Dublin","2009","Part-time Enrolments to Third Level Courses","Number","4340"
"National University of Ireland, Dublin","2009","Entrants to Third Level Courses","Number","4358"
"National University of Ireland, Dublin","2010","Full-time Enrolments to Third Level Courses","Number","19358"
"National University of Ireland, Dublin","2010","Part-time Enrolments to Third Level Courses","Number","4297"
"National University of Ireland, Dublin","2010","Entrants to Third Level Courses","Number","4590"
"National University of Ireland, Dublin","2011","Full-time Enrolments to Third Level Courses","Number","19454"
"National University of Ireland, Dublin","2011","Part-time Enrolments to Third Level Courses","Number","4146"
"National University of Ireland, Dublin","2011","Entrants to Third Level Courses","Number","4151"
"National University of Ireland, Dublin","2012","Full-time Enrolments to Third Level Courses","Number","19536"
"National University of Ireland, Dublin","2012","Part-time Enrolments to Third Level Courses","Number","3963"
"National University of Ireland, Dublin","2012","Entrants to Third Level Courses","Number","4013"
"National University of Ireland, Dublin","2013","Full-time Enrolments to Third Level Courses","Number","20054"
"National University of Ireland, Dublin","2013","Part-time Enrolments to Third Level Courses","Number","3877"
"National University of Ireland, Dublin","2013","Entrants to Third Level Courses","Number","4234"
"National University of Ireland, Dublin","2014","Full-time Enrolments to Third Level Courses","Number","21237"
"National University of Ireland, Dublin","2014","Part-time Enrolments to Third Level Courses","Number","3346"
"National University of Ireland, Dublin","2014","Entrants to Third Level Courses","Number","4240"
"National University of Ireland, Dublin","2015","Full-time Enrolments to Third Level Courses","Number","21232"
"National University of Ireland, Dublin","2015","Part-time Enrolments to Third Level Courses","Number","3579"
"National University of Ireland, Dublin","2015","Entrants to Third Level Courses","Number","4207"
"National University of Ireland, Dublin","2016","Full-time Enrolments to Third Level Courses","Number","21776"
"National University of Ireland, Dublin","2016","Part-time Enrolments to Third Level Courses","Number","3878"
"National University of Ireland, Dublin","2016","Entrants to Third Level Courses","Number","4401"
"National University of Ireland, Dublin","2017","Full-time Enrolments to Third Level Courses","Number","22334"
"National University of Ireland, Dublin","2017","Part-time Enrolments to Third Level Courses","Number","3918"
"National University of Ireland, Dublin","2017","Entrants to Third Level Courses","Number","4434"
"National University of Ireland, Galway","2000","Full-time Enrolments to Third Level Courses","Number","8655"
"National University of Ireland, Galway","2000","Part-time Enrolments to Third Level Courses","Number","1126"
"National University of Ireland, Galway","2000","Entrants to Third Level Courses","Number","2105"
"National University of Ireland, Galway","2001","Full-time Enrolments to Third Level Courses","Number","9267"
"National University of Ireland, Galway","2001","Part-time Enrolments to Third Level Courses","Number","1183"
"National University of Ireland, Galway","2001","Entrants to Third Level Courses","Number","2349"
"National University of Ireland, Galway","2002","Full-time Enrolments to Third Level Courses","Number","10093"
"National University of Ireland, Galway","2002","Part-time Enrolments to Third Level Courses","Number","1485"
"National University of Ireland, Galway","2002","Entrants to Third Level Courses","Number","2374"
"National University of Ireland, Galway","2003","Full-time Enrolments to Third Level Courses","Number","11020"
"National University of Ireland, Galway","2003","Part-time Enrolments to Third Level Courses","Number","1686"
"National University of Ireland, Galway","2003","Entrants to Third Level Courses","Number","2492"
"National University of Ireland, Galway","2004","Full-time Enrolments to Third Level Courses","Number","11368"
"National University of Ireland, Galway","2004","Part-time Enrolments to Third Level Courses","Number","1620"
"National University of Ireland, Galway","2004","Entrants to Third Level Courses","Number","2681"
"National University of Ireland, Galway","2005","Full-time Enrolments to Third Level Courses","Number","11661"
"National University of Ireland, Galway","2005","Part-time Enrolments to Third Level Courses","Number","2885"
"National University of Ireland, Galway","2005","Entrants to Third Level Courses","Number","2495"
"National University of Ireland, Galway","2006","Full-time Enrolments to Third Level Courses","Number","11739"
"National University of Ireland, Galway","2006","Part-time Enrolments to Third Level Courses","Number","2729"
"National University of Ireland, Galway","2006","Entrants to Third Level Courses","Number","2428"
"National University of Ireland, Galway","2007","Full-time Enrolments to Third Level Courses","Number","11753"
"National University of Ireland, Galway","2007","Part-time Enrolments to Third Level Courses","Number","2754"
"National University of Ireland, Galway","2007","Entrants to Third Level Courses","Number","2654"
"National University of Ireland, Galway","2008","Full-time Enrolments to Third Level Courses","Number","11850"
"National University of Ireland, Galway","2008","Part-time Enrolments to Third Level Courses","Number","2904"
"National University of Ireland, Galway","2008","Entrants to Third Level Courses","Number","2679"
"National University of Ireland, Galway","2009","Full-time Enrolments to Third Level Courses","Number","12549"
"National University of Ireland, Galway","2009","Part-time Enrolments to Third Level Courses","Number","2753"
"National University of Ireland, Galway","2009","Entrants to Third Level Courses","Number","2957"
"National University of Ireland, Galway","2010","Full-time Enrolments to Third Level Courses","Number","13469"
"National University of Ireland, Galway","2010","Part-time Enrolments to Third Level Courses","Number","2618"
"National University of Ireland, Galway","2010","Entrants to Third Level Courses","Number","3123"
"National University of Ireland, Galway","2011","Full-time Enrolments to Third Level Courses","Number","13733"
"National University of Ireland, Galway","2011","Part-time Enrolments to Third Level Courses","Number","2746"
"National University of Ireland, Galway","2011","Entrants to Third Level Courses","Number","3003"
"National University of Ireland, Galway","2012","Full-time Enrolments to Third Level Courses","Number","13873"
"National University of Ireland, Galway","2012","Part-time Enrolments to Third Level Courses","Number","2659"
"National University of Ireland, Galway","2012","Entrants to Third Level Courses","Number","3017"
"National University of Ireland, Galway","2013","Full-time Enrolments to Third Level Courses","Number","13139"
"National University of Ireland, Galway","2013","Part-time Enrolments to Third Level Courses","Number","2788"
"National University of Ireland, Galway","2013","Entrants to Third Level Courses","Number","3080"
"National University of Ireland, Galway","2014","Full-time Enrolments to Third Level Courses","Number","13818"
"National University of Ireland, Galway","2014","Part-time Enrolments to Third Level Courses","Number","2679"
"National University of Ireland, Galway","2014","Entrants to Third Level Courses","Number","2983"
"National University of Ireland, Galway","2015","Full-time Enrolments to Third Level Courses","Number","13910"
"National University of Ireland, Galway","2015","Part-time Enrolments to Third Level Courses","Number","3306"
"National University of Ireland, Galway","2015","Entrants to Third Level Courses","Number","2991"
"National University of Ireland, Galway","2016","Full-time Enrolments to Third Level Courses","Number","14771"
"National University of Ireland, Galway","2016","Part-time Enrolments to Third Level Courses","Number","3086"
"National University of Ireland, Galway","2016","Entrants to Third Level Courses","Number","3085"
"National University of Ireland, Galway","2017","Full-time Enrolments to Third Level Courses","Number","14716"
"National University of Ireland, Galway","2017","Part-time Enrolments to Third Level Courses","Number","2987"
"National University of Ireland, Galway","2017","Entrants to Third Level Courses","Number","3310"
"Trinity College, Dublin","2000","Full-time Enrolments to Third Level Courses","Number","10896"
"Trinity College, Dublin","2000","Part-time Enrolments to Third Level Courses","Number","2866"
"Trinity College, Dublin","2000","Entrants to Third Level Courses","Number","2422"
"Trinity College, Dublin","2001","Full-time Enrolments to Third Level Courses","Number","11039"
"Trinity College, Dublin","2001","Part-time Enrolments to Third Level Courses","Number","2758"
"Trinity College, Dublin","2001","Entrants to Third Level Courses","Number","2365"
"Trinity College, Dublin","2002","Full-time Enrolments to Third Level Courses","Number","11212"
"Trinity College, Dublin","2002","Part-time Enrolments to Third Level Courses","Number","2905"
"Trinity College, Dublin","2002","Entrants to Third Level Courses","Number","2348"
"Trinity College, Dublin","2003","Full-time Enrolments to Third Level Courses","Number","11628"
"Trinity College, Dublin","2003","Part-time Enrolments to Third Level Courses","Number","2798"
"Trinity College, Dublin","2003","Entrants to Third Level Courses","Number","2320"
"Trinity College, Dublin","2004","Full-time Enrolments to Third Level Courses","Number","11722"
"Trinity College, Dublin","2004","Part-time Enrolments to Third Level Courses","Number","2587"
"Trinity College, Dublin","2004","Entrants to Third Level Courses","Number","2296"
"Trinity College, Dublin","2005","Full-time Enrolments to Third Level Courses","Number","12679"
"Trinity College, Dublin","2005","Part-time Enrolments to Third Level Courses","Number","2242"
"Trinity College, Dublin","2005","Entrants to Third Level Courses","Number","2395"
"Trinity College, Dublin","2006","Full-time Enrolments to Third Level Courses","Number","12939"
"Trinity College, Dublin","2006","Part-time Enrolments to Third Level Courses","Number","2023"
"Trinity College, Dublin","2006","Entrants to Third Level Courses","Number","2438"
"Trinity College, Dublin","2007","Full-time Enrolments to Third Level Courses","Number","12912"
"Trinity College, Dublin","2007","Part-time Enrolments to Third Level Courses","Number","1789"
"Trinity College, Dublin","2007","Entrants to Third Level Courses","Number","2653"
"Trinity College, Dublin","2008","Full-time Enrolments to Third Level Courses","Number","13037"
"Trinity College, Dublin","2008","Part-time Enrolments to Third Level Courses","Number","1932"
"Trinity College, Dublin","2008","Entrants to Third Level Courses","Number","2617"
"Trinity College, Dublin","2009","Full-time Enrolments to Third Level Courses","Number","13506"
"Trinity College, Dublin","2009","Part-time Enrolments to Third Level Courses","Number","1982"
"Trinity College, Dublin","2009","Entrants to Third Level Courses","Number","2864"
"Trinity College, Dublin","2010","Full-time Enrolments to Third Level Courses","Number","14390"
"Trinity College, Dublin","2010","Part-time Enrolments to Third Level Courses","Number","1783"
"Trinity College, Dublin","2010","Entrants to Third Level Courses","Number","3217"
"Trinity College, Dublin","2011","Full-time Enrolments to Third Level Courses","Number","14562"
"Trinity College, Dublin","2011","Part-time Enrolments to Third Level Courses","Number","1706"
"Trinity College, Dublin","2011","Entrants to Third Level Courses","Number","3019"
"Trinity College, Dublin","2012","Full-time Enrolments to Third Level Courses","Number","14482"
"Trinity College, Dublin","2012","Part-time Enrolments to Third Level Courses","Number","1895"
"Trinity College, Dublin","2012","Entrants to Third Level Courses","Number","2882"
"Trinity College, Dublin","2013","Full-time Enrolments to Third Level Courses","Number","14123"
"Trinity College, Dublin","2013","Part-time Enrolments to Third Level Courses","Number","1735"
"Trinity College, Dublin","2013","Entrants to Third Level Courses","Number","2602"
"Trinity College, Dublin","2014","Full-time Enrolments to Third Level Courses","Number","13937"
"Trinity College, Dublin","2014","Part-time Enrolments to Third Level Courses","Number","1698"
"Trinity College, Dublin","2014","Entrants to Third Level Courses","Number","2879"
"Trinity College, Dublin","2015","Full-time Enrolments to Third Level Courses","Number","14225"
"Trinity College, Dublin","2015","Part-time Enrolments to Third Level Courses","Number","1768"
"Trinity College, Dublin","2015","Entrants to Third Level Courses","Number","2990"
"Trinity College, Dublin","2016","Full-time Enrolments to Third Level Courses","Number","14497"
"Trinity College, Dublin","2016","Part-time Enrolments to Third Level Courses","Number","1801"
"Trinity College, Dublin","2016","Entrants to Third Level Courses","Number","2939"
"Trinity College, Dublin","2017","Full-time Enrolments to Third Level Courses","Number","14715"
"Trinity College, Dublin","2017","Part-time Enrolments to Third Level Courses","Number","1764"
"Trinity College, Dublin","2017","Entrants to Third Level Courses","Number","2971"
"National University of Ireland, Maynooth","2000","Full-time Enrolments to Third Level Courses","Number","4028"
"National University of Ireland, Maynooth","2000","Part-time Enrolments to Third Level Courses","Number","614"
"National University of Ireland, Maynooth","2000","Entrants to Third Level Courses","Number","1186"
"National University of Ireland, Maynooth","2001","Full-time Enrolments to Third Level Courses","Number","4200"
"National University of Ireland, Maynooth","2001","Part-time Enrolments to Third Level Courses","Number","552"
"National University of Ireland, Maynooth","2001","Entrants to Third Level Courses","Number","1143"
"National University of Ireland, Maynooth","2002","Full-time Enrolments to Third Level Courses","Number","4510"
"National University of Ireland, Maynooth","2002","Part-time Enrolments to Third Level Courses","Number","606"
"National University of Ireland, Maynooth","2002","Entrants to Third Level Courses","Number","1172"
"National University of Ireland, Maynooth","2003","Full-time Enrolments to Third Level Courses","Number","4707"
"National University of Ireland, Maynooth","2003","Part-time Enrolments to Third Level Courses","Number","574"
"National University of Ireland, Maynooth","2003","Entrants to Third Level Courses","Number","1194"
"National University of Ireland, Maynooth","2004","Full-time Enrolments to Third Level Courses","Number","4956"
"National University of Ireland, Maynooth","2004","Part-time Enrolments to Third Level Courses","Number","436"
"National University of Ireland, Maynooth","2004","Entrants to Third Level Courses","Number","1334"
"National University of Ireland, Maynooth","2005","Full-time Enrolments to Third Level Courses","Number","5109"
"National University of Ireland, Maynooth","2005","Part-time Enrolments to Third Level Courses","Number","694"
"National University of Ireland, Maynooth","2005","Entrants to Third Level Courses","Number","1306"
"National University of Ireland, Maynooth","2006","Full-time Enrolments to Third Level Courses","Number","5324"
"National University of Ireland, Maynooth","2006","Part-time Enrolments to Third Level Courses","Number","785"
"National University of Ireland, Maynooth","2006","Entrants to Third Level Courses","Number","1412"
"National University of Ireland, Maynooth","2007","Full-time Enrolments to Third Level Courses","Number","5343"
"National University of Ireland, Maynooth","2007","Part-time Enrolments to Third Level Courses","Number","825"
"National University of Ireland, Maynooth","2007","Entrants to Third Level Courses","Number","1364"
"National University of Ireland, Maynooth","2008","Full-time Enrolments to Third Level Courses","Number","5608"
"National University of Ireland, Maynooth","2008","Part-time Enrolments to Third Level Courses","Number","922"
"National University of Ireland, Maynooth","2008","Entrants to Third Level Courses","Number","1571"
"National University of Ireland, Maynooth","2009","Full-time Enrolments to Third Level Courses","Number","6100"
"National University of Ireland, Maynooth","2009","Part-time Enrolments to Third Level Courses","Number","1176"
"National University of Ireland, Maynooth","2009","Entrants to Third Level Courses","Number","1798"
"National University of Ireland, Maynooth","2010","Full-time Enrolments to Third Level Courses","Number","6647"
"National University of Ireland, Maynooth","2010","Part-time Enrolments to Third Level Courses","Number","1229"
