"Institution","Year","Statistic Label","UNIT","VALUE"
"University of Limerick","2015","Part-time Enrolments to Third Level Courses","Number","1191"
"University of Limerick","2015","Entrants to Third Level Courses","Number","2260"
"University of Limerick","2016","Full-time Enrolments to Third Level Courses","Number","12179"
"University of Limerick","2016","Part-time Enrolments to Third Level Courses","Number","1067"
"University of Limerick","2016","Entrants to Third Level Courses","Number","2492"
"University of Limerick","2017","Full-time Enrolments to Third Level Courses","Number","12416"
"University of Limerick","2017","Part-time Enrolments to Third Level Courses","Number","1056"
"University of Limerick","2017","Entrants to Third Level Courses","Number","2578"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2000","Full-time Enrolments to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2000","Part-time Enrolments to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2000","Entrants to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2001","Full-time Enrolments to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2001","Part-time Enrolments to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2001","Entrants to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2002","Full-time Enrolments to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2002","Part-time Enrolments to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2002","Entrants to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2003","Full-time Enrolments to Third Level Courses","Number","2033"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2003","Part-time Enrolments to Third Level Courses","Number","171"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2003","Entrants to Third Level Courses","Number","586"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2004","Full-time Enrolments to Third Level Courses","Number","2012"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2004","Part-time Enrolments to Third Level Courses","Number","185"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2004","Entrants to Third Level Courses","Number","586"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2005","Full-time Enrolments to Third Level Courses","Number","1957"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2005","Part-time Enrolments to Third Level Courses","Number","234"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2005","Entrants to Third Level Courses","Number","576"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2006","Full-time Enrolments to Third Level Courses","Number","1990"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2006","Part-time Enrolments to Third Level Courses","Number","184"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2006","Entrants to Third Level Courses","Number","600"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2007","Full-time Enrolments to Third Level Courses","Number","2029"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2007","Part-time Enrolments to Third Level Courses","Number","269"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2007","Entrants to Third Level Courses","Number","586"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2008","Full-time Enrolments to Third Level Courses","Number","2135"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2008","Part-time Enrolments to Third Level Courses","Number","400"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2008","Entrants to Third Level Courses","Number","606"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2009","Full-time Enrolments to Third Level Courses","Number","2245"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2009","Part-time Enrolments to Third Level Courses","Number","526"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2009","Entrants to Third Level Courses","Number","619"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2010","Full-time Enrolments to Third Level Courses","Number","2064"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2010","Part-time Enrolments to Third Level Courses","Number","606"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2010","Entrants to Third Level Courses","Number","592"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2011","Full-time Enrolments to Third Level Courses","Number","1981"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2011","Part-time Enrolments to Third Level Courses","Number","613"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2011","Entrants to Third Level Courses","Number","616"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2012","Full-time Enrolments to Third Level Courses","Number","1969"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2012","Part-time Enrolments to Third Level Courses","Number","566"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2012","Entrants to Third Level Courses","Number","614"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2013","Full-time Enrolments to Third Level Courses","Number","1970"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2013","Part-time Enrolments to Third Level Courses","Number","431"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2013","Entrants to Third Level Courses","Number","620"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2014","Full-time Enrolments to Third Level Courses","Number","2065"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2014","Part-time Enrolments to Third Level Courses","Number","409"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2014","Entrants to Third Level Courses","Number","630"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2015","Full-time Enrolments to Third Level Courses","Number","2040"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2015","Part-time Enrolments to Third Level Courses","Number","343"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2015","Entrants to Third Level Courses","Number","640"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2016","Full-time Enrolments to Third Level Courses","Number","1852"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2016","Part-time Enrolments to Third Level Courses","Number","318"
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2016","Entrants to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2017","Full-time Enrolments to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2017","Part-time Enrolments to Third Level Courses","Number",""
"St. Patrick's Teacher Training College, Drumcondra, Dublin","2017","Entrants to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2000","Full-time Enrolments to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2000","Part-time Enrolments to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2000","Entrants to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2001","Full-time Enrolments to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2001","Part-time Enrolments to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2001","Entrants to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2002","Full-time Enrolments to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2002","Part-time Enrolments to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2002","Entrants to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2003","Full-time Enrolments to Third Level Courses","Number","1983"
"Mary Immaculate College of Education, Limerick","2003","Part-time Enrolments to Third Level Courses","Number","198"
"Mary Immaculate College of Education, Limerick","2003","Entrants to Third Level Courses","Number","549"
"Mary Immaculate College of Education, Limerick","2004","Full-time Enrolments to Third Level Courses","Number","2187"
"Mary Immaculate College of Education, Limerick","2004","Part-time Enrolments to Third Level Courses","Number","143"
"Mary Immaculate College of Education, Limerick","2004","Entrants to Third Level Courses","Number","647"
"Mary Immaculate College of Education, Limerick","2005","Full-time Enrolments to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2005","Part-time Enrolments to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2005","Entrants to Third Level Courses","Number",""
"Mary Immaculate College of Education, Limerick","2006","Full-time Enrolments to Third Level Courses","Number","2571"
"Mary Immaculate College of Education, Limerick","2006","Part-time Enrolments to Third Level Courses","Number","89"
"Mary Immaculate College of Education, Limerick","2006","Entrants to Third Level Courses","Number","693"
"Mary Immaculate College of Education, Limerick","2007","Full-time Enrolments to Third Level Courses","Number","2693"
"Mary Immaculate College of Education, Limerick","2007","Part-time Enrolments to Third Level Courses","Number","106"
"Mary Immaculate College of Education, Limerick","2007","Entrants to Third Level Courses","Number","670"
"Mary Immaculate College of Education, Limerick","2008","Full-time Enrolments to Third Level Courses","Number","2814"
"Mary Immaculate College of Education, Limerick","2008","Part-time Enrolments to Third Level Courses","Number","140"
"Mary Immaculate College of Education, Limerick","2008","Entrants to Third Level Courses","Number","681"
"Mary Immaculate College of Education, Limerick","2009","Full-time Enrolments to Third Level Courses","Number","2909"
"Mary Immaculate College of Education, Limerick","2009","Part-time Enrolments to Third Level Courses","Number","113"
"Mary Immaculate College of Education, Limerick","2009","Entrants to Third Level Courses","Number","735"
"Mary Immaculate College of Education, Limerick","2010","Full-time Enrolments to Third Level Courses","Number","2864"
"Mary Immaculate College of Education, Limerick","2010","Part-time Enrolments to Third Level Courses","Number","150"
"Mary Immaculate College of Education, Limerick","2010","Entrants to Third Level Courses","Number","692"
"Mary Immaculate College of Education, Limerick","2011","Full-time Enrolments to Third Level Courses","Number","2845"
"Mary Immaculate College of Education, Limerick","2011","Part-time Enrolments to Third Level Courses","Number","135"
"Mary Immaculate College of Education, Limerick","2011","Entrants to Third Level Courses","Number","661"
"Mary Immaculate College of Education, Limerick","2012","Full-time Enrolments to Third Level Courses","Number","2850"
"Mary Immaculate College of Education, Limerick","2012","Part-time Enrolments to Third Level Courses","Number","110"
"Mary Immaculate College of Education, Limerick","2012","Entrants to Third Level Courses","Number","735"
"Mary Immaculate College of Education, Limerick","2013","Full-time Enrolments to Third Level Courses","Number","2888"
"Mary Immaculate College of Education, Limerick","2013","Part-time Enrolments to Third Level Courses","Number","117"
"Mary Immaculate College of Education, Limerick","2013","Entrants to Third Level Courses","Number","674"
"Mary Immaculate College of Education, Limerick","2014","Full-time Enrolments to Third Level Courses","Number","2873"
"Mary Immaculate College of Education, Limerick","2014","Part-time Enrolments to Third Level Courses","Number","153"
"Mary Immaculate College of Education, Limerick","2014","Entrants to Third Level Courses","Number","724"
"Mary Immaculate College of Education, Limerick","2015","Full-time Enrolments to Third Level Courses","Number","3033"
"Mary Immaculate College of Education, Limerick","2015","Part-time Enrolments to Third Level Courses","Number","146"
"Mary Immaculate College of Education, Limerick","2015","Entrants to Third Level Courses","Number","807"
"Mary Immaculate College of Education, Limerick","2016","Full-time Enrolments to Third Level Courses","Number","3518"
"Mary Immaculate College of Education, Limerick","2016","Part-time Enrolments to Third Level Courses","Number","169"
"Mary Immaculate College of Education, Limerick","2016","Entrants to Third Level Courses","Number","825"
"Mary Immaculate College of Education, Limerick","2017","Full-time Enrolments to Third Level Courses","Number","3657"
"Mary Immaculate College of Education, Limerick","2017","Part-time Enrolments to Third Level Courses","Number","141"
"Mary Immaculate College of Education, Limerick","2017","Entrants to Third Level Courses","Number","857"
"Institutes of Technology/Other Technology Colleges","2000","Full-time Enrolments to Third Level Courses","Number","46424"
"Institutes of Technology/Other Technology Colleges","2000","Part-time Enrolments to Third Level Courses","Number","16504"
"Institutes of Technology/Other Technology Colleges","2000","Entrants to Third Level Courses","Number","18401"
"Institutes of Technology/Other Technology Colleges","2001","Full-time Enrolments to Third Level Courses","Number","48360"
"Institutes of Technology/Other Technology Colleges","2001","Part-time Enrolments to Third Level Courses","Number","17700"
"Institutes of Technology/Other Technology Colleges","2001","Entrants to Third Level Courses","Number","18530"
"Institutes of Technology/Other Technology Colleges","2002","Full-time Enrolments to Third Level Courses","Number","49890"
"Institutes of Technology/Other Technology Colleges","2002","Part-time Enrolments to Third Level Courses","Number","18042"
"Institutes of Technology/Other Technology Colleges","2002","Entrants to Third Level Courses","Number","17768"
"Institutes of Technology/Other Technology Colleges","2003","Full-time Enrolments to Third Level Courses","Number","51507"
"Institutes of Technology/Other Technology Colleges","2003","Part-time Enrolments to Third Level Courses","Number","17404"
"Institutes of Technology/Other Technology Colleges","2003","Entrants to Third Level Courses","Number","17434"
"Institutes of Technology/Other Technology Colleges","2004","Full-time Enrolments to Third Level Courses","Number","53586"
"Institutes of Technology/Other Technology Colleges","2004","Part-time Enrolments to Third Level Courses","Number","17351"
"Institutes of Technology/Other Technology Colleges","2004","Entrants to Third Level Courses","Number","17287"
"Institutes of Technology/Other Technology Colleges","2005","Full-time Enrolments to Third Level Courses","Number","52229"
"Institutes of Technology/Other Technology Colleges","2005","Part-time Enrolments to Third Level Courses","Number","15200"
"Institutes of Technology/Other Technology Colleges","2005","Entrants to Third Level Courses","Number","16143"
"Institutes of Technology/Other Technology Colleges","2006","Full-time Enrolments to Third Level Courses","Number","53386"
"Institutes of Technology/Other Technology Colleges","2006","Part-time Enrolments to Third Level Courses","Number","14667"
"Institutes of Technology/Other Technology Colleges","2006","Entrants to Third Level Courses","Number","16711"
"Institutes of Technology/Other Technology Colleges","2007","Full-time Enrolments to Third Level Courses","Number","53358"
"Institutes of Technology/Other Technology Colleges","2007","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2007","Entrants to Third Level Courses","Number","16516"
"Institutes of Technology/Other Technology Colleges","2008","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2008","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2008","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2009","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2009","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2009","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2010","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2010","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2010","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2011","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2011","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2011","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2012","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2012","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2012","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2013","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2013","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2013","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2014","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2014","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2014","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2015","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2015","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2015","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2016","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2016","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2016","Entrants to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2017","Full-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2017","Part-time Enrolments to Third Level Courses","Number",""
"Institutes of Technology/Other Technology Colleges","2017","Entrants to Third Level Courses","Number",""
"Mater Dei Institute, Clonliffe Road, Dublin","2000","Full-time Enrolments to Third Level Courses","Number","259"
"Mater Dei Institute, Clonliffe Road, Dublin","2000","Part-time Enrolments to Third Level Courses","Number","23"
"Mater Dei Institute, Clonliffe Road, Dublin","2000","Entrants to Third Level Courses","Number","66"
"Mater Dei Institute, Clonliffe Road, Dublin","2001","Full-time Enrolments to Third Level Courses","Number","268"
"Mater Dei Institute, Clonliffe Road, Dublin","2001","Part-time Enrolments to Third Level Courses","Number","56"
"Mater Dei Institute, Clonliffe Road, Dublin","2001","Entrants to Third Level Courses","Number","68"
"Mater Dei Institute, Clonliffe Road, Dublin","2002","Full-time Enrolments to Third Level Courses","Number","252"
"Mater Dei Institute, Clonliffe Road, Dublin","2002","Part-time Enrolments to Third Level Courses","Number","131"
"Mater Dei Institute, Clonliffe Road, Dublin","2002","Entrants to Third Level Courses","Number","62"
"Mater Dei Institute, Clonliffe Road, Dublin","2003","Full-time Enrolments to Third Level Courses","Number","280"
"Mater Dei Institute, Clonliffe Road, Dublin","2003","Part-time Enrolments to Third Level Courses","Number","132"
"Mater Dei Institute, Clonliffe Road, Dublin","2003","Entrants to Third Level Courses","Number","67"
"Mater Dei Institute, Clonliffe Road, Dublin","2004","Full-time Enrolments to Third Level Courses","Number","302"
"Mater Dei Institute, Clonliffe Road, Dublin","2004","Part-time Enrolments to Third Level Courses","Number","143"
"Mater Dei Institute, Clonliffe Road, Dublin","2004","Entrants to Third Level Courses","Number","84"
"Mater Dei Institute, Clonliffe Road, Dublin","2005","Full-time Enrolments to Third Level Courses","Number","327"
"Mater Dei Institute, Clonliffe Road, Dublin","2005","Part-time Enrolments to Third Level Courses","Number","187"
"Mater Dei Institute, Clonliffe Road, Dublin","2005","Entrants to Third Level Courses","Number","84"
"Mater Dei Institute, Clonliffe Road, Dublin","2006","Full-time Enrolments to Third Level Courses","Number","354"
"Mater Dei Institute, Clonliffe Road, Dublin","2006","Part-time Enrolments to Third Level Courses","Number","177"
"Mater Dei Institute, Clonliffe Road, Dublin","2006","Entrants to Third Level Courses","Number","89"
"Mater Dei Institute, Clonliffe Road, Dublin","2007","Full-time Enrolments to Third Level Courses","Number","363"
"Mater Dei Institute, Clonliffe Road, Dublin","2007","Part-time Enrolments to Third Level Courses","Number","123"
"Mater Dei Institute, Clonliffe Road, Dublin","2007","Entrants to Third Level Courses","Number","167"
"Mater Dei Institute, Clonliffe Road, Dublin","2008","Full-time Enrolments to Third Level Courses","Number","323"
"Mater Dei Institute, Clonliffe Road, Dublin","2008","Part-time Enrolments to Third Level Courses","Number","128"
"Mater Dei Institute, Clonliffe Road, Dublin","2008","Entrants to Third Level Courses","Number","83"
"Mater Dei Institute, Clonliffe Road, Dublin","2009","Full-time Enrolments to Third Level Courses","Number","366"
"Mater Dei Institute, Clonliffe Road, Dublin","2009","Part-time Enrolments to Third Level Courses","Number","302"
"Mater Dei Institute, Clonliffe Road, Dublin","2009","Entrants to Third Level Courses","Number","102"
"Mater Dei Institute, Clonliffe Road, Dublin","2010","Full-time Enrolments to Third Level Courses","Number","413"
"Mater Dei Institute, Clonliffe Road, Dublin","2010","Part-time Enrolments to Third Level Courses","Number","304"
"Mater Dei Institute, Clonliffe Road, Dublin","2010","Entrants to Third Level Courses","Number","112"
"Mater Dei Institute, Clonliffe Road, Dublin","2011","Full-time Enrolments to Third Level Courses","Number","442"
"Mater Dei Institute, Clonliffe Road, Dublin","2011","Part-time Enrolments to Third Level Courses","Number","284"
"Mater Dei Institute, Clonliffe Road, Dublin","2011","Entrants to Third Level Courses","Number","109"
"Mater Dei Institute, Clonliffe Road, Dublin","2012","Full-time Enrolments to Third Level Courses","Number","463"
"Mater Dei Institute, Clonliffe Road, Dublin","2012","Part-time Enrolments to Third Level Courses","Number","192"
"Mater Dei Institute, Clonliffe Road, Dublin","2012","Entrants to Third Level Courses","Number","119"
"Mater Dei Institute, Clonliffe Road, Dublin","2013","Full-time Enrolments to Third Level Courses","Number","430"
"Mater Dei Institute, Clonliffe Road, Dublin","2013","Part-time Enrolments to Third Level Courses","Number","203"
"Mater Dei Institute, Clonliffe Road, Dublin","2013","Entrants to Third Level Courses","Number","89"
"Mater Dei Institute, Clonliffe Road, Dublin","2014","Full-time Enrolments to Third Level Courses","Number","404"
"Mater Dei Institute, Clonliffe Road, Dublin","2014","Part-time Enrolments to Third Level Courses","Number","177"
"Mater Dei Institute, Clonliffe Road, Dublin","2014","Entrants to Third Level Courses","Number","75"
"Mater Dei Institute, Clonliffe Road, Dublin","2015","Full-time Enrolments to Third Level Courses","Number","410"
"Mater Dei Institute, Clonliffe Road, Dublin","2015","Part-time Enrolments to Third Level Courses","Number","147"
"Mater Dei Institute, Clonliffe Road, Dublin","2015","Entrants to Third Level Courses","Number","93"
"Mater Dei Institute, Clonliffe Road, Dublin","2016","Full-time Enrolments to Third Level Courses","Number","284"
"Mater Dei Institute, Clonliffe Road, Dublin","2016","Part-time Enrolments to Third Level Courses","Number","114"
"Mater Dei Institute, Clonliffe Road, Dublin","2016","Entrants to Third Level Courses","Number",""
"Mater Dei Institute, Clonliffe Road, Dublin","2017","Full-time Enrolments to Third Level Courses","Number",""
"Mater Dei Institute, Clonliffe Road, Dublin","2017","Part-time Enrolments to Third Level Courses","Number",""
"Mater Dei Institute, Clonliffe Road, Dublin","2017","Entrants to Third Level Courses","Number",""
"National College of Art & Design, Dublin","2000","Full-time Enrolments to Third Level Courses","Number","733"
"National College of Art & Design, Dublin","2000","Part-time Enrolments to Third Level Courses","Number","8"
"National College of Art & Design, Dublin","2000","Entrants to Third Level Courses","Number","156"
"National College of Art & Design, Dublin","2001","Full-time Enrolments to Third Level Courses","Number","764"
"National College of Art & Design, Dublin","2001","Part-time Enrolments to Third Level Courses","Number","5"
"National College of Art & Design, Dublin","2001","Entrants to Third Level Courses","Number","160"
"National College of Art & Design, Dublin","2002","Full-time Enrolments to Third Level Courses","Number","808"
"National College of Art & Design, Dublin","2002","Part-time Enrolments to Third Level Courses","Number","24"
"National College of Art & Design, Dublin","2002","Entrants to Third Level Courses","Number","169"
"National College of Art & Design, Dublin","2003","Full-time Enrolments to Third Level Courses","Number","824"
"National College of Art & Design, Dublin","2003","Part-time Enrolments to Third Level Courses","Number","44"
"National College of Art & Design, Dublin","2003","Entrants to Third Level Courses","Number","147"
"National College of Art & Design, Dublin","2004","Full-time Enrolments to Third Level Courses","Number","855"
"National College of Art & Design, Dublin","2004","Part-time Enrolments to Third Level Courses","Number","26"
"National College of Art & Design, Dublin","2004","Entrants to Third Level Courses","Number","157"
"National College of Art & Design, Dublin","2005","Full-time Enrolments to Third Level Courses","Number","843"
"National College of Art & Design, Dublin","2005","Part-time Enrolments to Third Level Courses","Number","35"
"National College of Art & Design, Dublin","2005","Entrants to Third Level Courses","Number","172"
"National College of Art & Design, Dublin","2006","Full-time Enrolments to Third Level Courses","Number","849"
"National College of Art & Design, Dublin","2006","Part-time Enrolments to Third Level Courses","Number","14"
"National College of Art & Design, Dublin","2006","Entrants to Third Level Courses","Number","164"
"National College of Art & Design, Dublin","2007","Full-time Enrolments to Third Level Courses","Number","879"
"National College of Art & Design, Dublin","2007","Part-time Enrolments to Third Level Courses","Number","26"
"National College of Art & Design, Dublin","2007","Entrants to Third Level Courses","Number","89"
"National College of Art & Design, Dublin","2008","Full-time Enrolments to Third Level Courses","Number","830"
"National College of Art & Design, Dublin","2008","Part-time Enrolments to Third Level Courses","Number","124"
"National College of Art & Design, Dublin","2008","Entrants to Third Level Courses","Number","155"
"National College of Art & Design, Dublin","2009","Full-time Enrolments to Third Level Courses","Number","865"
"National College of Art & Design, Dublin","2009","Part-time Enrolments to Third Level Courses","Number","179"
"National College of Art & Design, Dublin","2009","Entrants to Third Level Courses","Number","185"
"National College of Art & Design, Dublin","2010","Full-time Enrolments to Third Level Courses","Number","932"
"National College of Art & Design, Dublin","2010","Part-time Enrolments to Third Level Courses","Number","242"
"National College of Art & Design, Dublin","2010","Entrants to Third Level Courses","Number","169"
"National College of Art & Design, Dublin","2011","Full-time Enrolments to Third Level Courses","Number","918"
"National College of Art & Design, Dublin","2011","Part-time Enrolments to Third Level Courses","Number","227"
"National College of Art & Design, Dublin","2011","Entrants to Third Level Courses","Number","167"
"National College of Art & Design, Dublin","2012","Full-time Enrolments to Third Level Courses","Number","940"
"National College of Art & Design, Dublin","2012","Part-time Enrolments to Third Level Courses","Number","222"
"National College of Art & Design, Dublin","2012","Entrants to Third Level Courses","Number","178"
"National College of Art & Design, Dublin","2013","Full-time Enrolments to Third Level Courses","Number","914"
"National College of Art & Design, Dublin","2013","Part-time Enrolments to Third Level Courses","Number","241"
"National College of Art & Design, Dublin","2013","Entrants to Third Level Courses","Number","199"
"National College of Art & Design, Dublin","2014","Full-time Enrolments to Third Level Courses","Number","1035"
"National College of Art & Design, Dublin","2014","Part-time Enrolments to Third Level Courses","Number","189"
"National College of Art & Design, Dublin","2014","Entrants to Third Level Courses","Number","275"
"National College of Art & Design, Dublin","2015","Full-time Enrolments to Third Level Courses","Number","1141"
"National College of Art & Design, Dublin","2015","Part-time Enrolments to Third Level Courses","Number","170"
"National College of Art & Design, Dublin","2015","Entrants to Third Level Courses","Number","278"
"National College of Art & Design, Dublin","2016","Full-time Enrolments to Third Level Courses","Number","1198"
"National College of Art & Design, Dublin","2016","Part-time Enrolments to Third Level Courses","Number","179"
"National College of Art & Design, Dublin","2016","Entrants to Third Level Courses","Number","281"
"National College of Art & Design, Dublin","2017","Full-time Enrolments to Third Level Courses","Number","984"
"National College of Art & Design, Dublin","2017","Part-time Enrolments to Third Level Courses","Number","168"
"National College of Art & Design, Dublin","2017","Entrants to Third Level Courses","Number","251"
"Dublin Institute of Technology","2000","Full-time Enrolments to Third Level Courses","Number","9642"
"Dublin Institute of Technology","2000","Part-time Enrolments to Third Level Courses","Number","5426"
"Dublin Institute of Technology","2000","Entrants to Third Level Courses","Number","3910"
"Dublin Institute of Technology","2001","Full-time Enrolments to Third Level Courses","Number","9793"
"Dublin Institute of Technology","2001","Part-time Enrolments to Third Level Courses","Number","5747"
"Dublin Institute of Technology","2001","Entrants to Third Level Courses","Number","3928"
"Dublin Institute of Technology","2002","Full-time Enrolments to Third Level Courses","Number","9873"
"Dublin Institute of Technology","2002","Part-time Enrolments to Third Level Courses","Number","5443"
"Dublin Institute of Technology","2002","Entrants to Third Level Courses","Number","3644"
"Dublin Institute of Technology","2003","Full-time Enrolments to Third Level Courses","Number","10240"
"Dublin Institute of Technology","2003","Part-time Enrolments to Third Level Courses","Number","5634"
"Dublin Institute of Technology","2003","Entrants to Third Level Courses","Number","3107"
"Dublin Institute of Technology","2004","Full-time Enrolments to Third Level Courses","Number","10307"
"Dublin Institute of Technology","2004","Part-time Enrolments to Third Level Courses","Number","5793"
"Dublin Institute of Technology","2004","Entrants to Third Level Courses","Number","2950"
"Dublin Institute of Technology","2005","Full-time Enrolments to Third Level Courses","Number","10353"
"Dublin Institute of Technology","2005","Part-time Enrolments to Third Level Courses","Number","5328"
"Dublin Institute of Technology","2005","Entrants to Third Level Courses","Number","2958"
"Dublin Institute of Technology","2006","Full-time Enrolments to Third Level Courses","Number","10457"
"Dublin Institute of Technology","2006","Part-time Enrolments to Third Level Courses","Number","5264"
"Dublin Institute of Technology","2006","Entrants to Third Level Courses","Number","2800"
"Dublin Institute of Technology","2007","Full-time Enrolments to Third Level Courses","Number","10552"
"Dublin Institute of Technology","2007","Part-time Enrolments to Third Level Courses","Number",""
"Dublin Institute of Technology","2007","Entrants to Third Level Courses","Number","2741"
"Dublin Institute of Technology","2008","Full-time Enrolments to Third Level Courses","Number","9961"
"Dublin Institute of Technology","2008","Part-time Enrolments to Third Level Courses","Number","3594"
"Dublin Institute of Technology","2008","Entrants to Third Level Courses","Number","2571"
